country,generation,p25,p75,mean_d
SAU,10,1.0,1.0,0.979055720773682
SDN,10,1.0,1.0,0.979055720773682
SEN,10,1.0,1.0,0.979055720773682
SGP,10,1.0,1.0,0.979055720773682
SLE,10,1.0,1.0,0.979055720773682
SLV,10,1.0,1.0,0.979055720773682
SOM,10,1.0,1.0,0.979055720773682
SPM,10,1.0,1.0,0.979055720773682
SUR,10,1.0,1.0,0.979055720773682
SWE,10,1.0,1.0,0.979055720773682
SYR,10,1.0,1.0,0.979055720773682
TCD,10,1.0,1.0,0.9804351000146007
TGO,10,1.0,1.0,0.979055720773682
THA,10,1.0,1.0,0.979055720773682
TLS,10,1.0,1.0,0.979055720773682
TTO,10,1.0,1.0,0.979055720773682
TUN,10,1.0,1.0,0.979055720773682
TUR,10,1.0,1.0,0.979055720773682
TWN,10,1.0,1.0,0.979055720773682
UGA,10,1.0,1.0,0.979055720773682
URY,10,1.0,1.0,0.979055720773682
USA,10,1.0,1.0,0.979055720773682
VDR,10,1.0,1.0,0.979055720773682
VEN,10,1.0,1.0,0.979055720773682
VNM,10,1.0,1.0,0.979055720773682
VUT,10,0.0,0.0,0.0
WSM,10,1.0,1.0,0.979055720773682
YEM,10,1.0,1.0,0.979055720773682
YMD,10,1.0,1.0,0.979055720773682
YUG,10,1.0,1.0,0.979055720773682
ZAF,10,1.0,1.0,0.979055720773682
RWA,10,0.0,0.0,0.0
MYS,10,1.0,1.0,0.979055720773682
AND,10,1.0,1.0,0.979055720773682
MWI,10,1.0,1.0,0.979055720773682
TZA,10,1.0,1.0,0.979055720773682
ZMB,10,1.0,1.0,0.979055720773682
ZWE,10,1.0,1.0,0.979055720773682
ARE,10,1.0,1.0,0.979055720773682
CXR,10,1.0,1.0,0.979055720773682
STP,10,1.0,1.0,0.979055720773682
ATG,10,1.0,1.0,0.979055720773682
BLZ,10,1.0,1.0,0.979055720773682
CPV,10,1.0,1.0,0.9804351000146007
DMA,10,1.0,1.0,0.979055720773682
ESH,10,1.0,1.0,0.9804351000146007
FLK,10,1.0,1.0,0.979055720773682
FRO,10,1.0,1.0,0.979055720773682
