country,generation,p25,p75,mean_d
Djibouti,12,1.0,1.0,0.9974193548387097
Dominican Rp,12,1.0,1.0,0.9974193548387097
EEC NES,12,1.0,1.0,0.9974193548387097
Ecuador,12,1.0,1.0,0.9974193548387097
Egypt,12,1.0,1.0,0.9974193548387097
El Salvador,12,1.0,1.0,0.9974193548387097
Eq.Guinea,12,1.0,1.0,0.9974193548387097
Estonia,12,1.0,1.0,0.9974193548387097
Ethiopia,12,1.0,1.0,0.9974193548387097
Eur.Other NE,12,1.0,1.0,0.9974193548387097
Falkland Is,12,1.0,1.0,0.9974193548387097
Fiji,12,1.0,1.0,0.9974193548387097
Finland,12,1.0,1.0,0.9974193548387097
Fr Ind O,12,1.0,1.0,0.9974193548387097
Fr.Guiana,12,1.0,1.0,0.9974193548387097
"France,Monac",12,1.0,1.0,0.9974193548387097
Gabon,12,1.0,1.0,0.9974193548387097
Gambia,12,1.0,1.0,0.9974193548387097
Georgia,12,1.0,1.0,0.9974193548387097
Germany,12,1.0,1.0,0.9974193548387097
Ghana,12,1.0,1.0,0.9974193548387097
Gibraltar,12,1.0,1.0,0.9974193548387097
Greece,12,1.0,1.0,0.9974193548387097
Greenland,12,1.0,1.0,0.9974193548387097
Guadeloupe,12,1.0,1.0,0.9974193548387097
Guatemala,12,1.0,1.0,0.9974193548387097
Guinea,12,1.0,1.0,0.9974193548387097
GuineaBissau,12,1.0,1.0,0.9974193548387097
Guyana,12,1.0,1.0,0.9974193548387097
Haiti,12,1.0,1.0,0.9974193548387097
Honduras,12,1.0,1.0,0.9974193548387097
Hungary,12,1.0,1.0,0.9974193548387097
Iceland,12,1.0,1.0,0.9974193548387097
India,12,1.0,1.0,0.9974193548387097
Indonesia,12,1.0,1.0,0.9974193548387097
Iran,12,1.0,1.0,0.9974193548387097
Iraq,12,1.0,1.0,0.9974193548387097
Ireland,12,1.0,1.0,0.9974193548387097
Israel,12,1.0,1.0,0.9974193548387097
Italy,12,1.0,1.0,0.9974193548387097
Jamaica,12,1.0,1.0,0.9974193548387097
Japan,12,1.0,1.0,0.9974193548387097
Jordan,12,1.0,1.0,0.9974193548387097
Kazakhstan,12,1.0,1.0,0.9974193548387097
Kenya,12,1.0,1.0,0.9974193548387097
Kiribati,12,1.0,1.0,0.9974193548387097
Korea D P Rp,12,1.0,1.0,0.9974193548387097
Korea Rep.,12,1.0,1.0,0.9974193548387097
Kuwait,12,1.0,1.0,0.9974193548387097
Kyrgyzstan,12,1.0,1.0,0.9974193548387097
LAIA NES,12,0.0,0.0,0.0
Lao P.Dem.R,12,1.0,1.0,0.9974193548387097
Latvia,12,1.0,1.0,0.9974193548387097
Lebanon,12,1.0,1.0,0.9974193548387097
Liberia,12,1.0,1.0,0.9974193548387097
Libya,12,1.0,1.0,0.9974193548387097
Lithuania,12,1.0,1.0,0.9974193548387097
Madagascar,12,1.0,1.0,0.9974193548387097
Malawi,12,1.0,1.0,0.9974193548387097
Malaysia,12,1.0,1.0,0.9974193548387097
Mali,12,1.0,1.0,0.9974193548387097
Malta,12,1.0,1.0,0.9974193548387097
Mauritania,12,1.0,1.0,0.9974193548387097
Mauritius,12,1.0,1.0,0.9974193548387097
Mexico,12,1.0,1.0,0.9974193548387097
Mongolia,12,1.0,1.0,0.9974193548387097
Morocco,12,1.0,1.0,0.9974193548387097
Mozambique,12,1.0,1.0,0.9974193548387097
Myanmar,12,1.0,1.0,0.9974193548387097
Nepal,12,1.0,1.0,0.9974193548387097
Neth.Ant.Aru,12,1.0,1.0,0.9974193548387097
Netherlands,12,1.0,1.0,0.9974193548387097
Neutral Zone,12,1.0,1.0,0.9974193548387097
New Calednia,12,1.0,1.0,0.9974193548387097
New Zealand,12,1.0,1.0,0.9974193548387097
Nicaragua,12,1.0,1.0,0.9974193548387097
Niger,12,1.0,1.0,0.9974193548387097
Nigeria,12,1.0,1.0,0.9974193548387097
Norway,12,1.0,1.0,0.9974193548387097
Occ.Pal.Terr,12,1.0,1.0,0.9974193548387097
Oman,12,1.0,1.0,0.9974193548387097
Oth.Oceania,12,1.0,1.0,0.9974193548387097
Pakistan,12,1.0,1.0,0.9974193548387097
Panama,12,1.0,1.0,0.9974193548387097
Papua N.Guin,12,1.0,1.0,0.9974193548387097
Paraguay,12,1.0,1.0,0.9974193548387097
Peru,12,1.0,1.0,0.9974193548387097
Philippines,12,1.0,1.0,0.9974193548387097
Poland,12,1.0,1.0,0.9974193548387097
Portugal,12,1.0,1.0,0.9974193548387097
Qatar,12,1.0,1.0,0.9974193548387097
Rep Moldova,12,1.0,1.0,0.9974193548387097
Romania,12,1.0,1.0,0.9974193548387097
Russian Fed,12,1.0,1.0,0.9974193548387097
Rwanda,12,1.0,1.0,0.9974193548387097
Samoa,12,1.0,1.0,0.9974193548387097
